"url","reason","publication","other_publications"
"https://clinicaltrials.gov/show/NCT00000723","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00001219","protocol has not been used for many years and has outlived it utility","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00001703","Due to poor accrual and lack of peptide vaccine","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00001803","IRB approval lapsed and PI has not responded to requests to submit CR.","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00001827","No reason provided","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00002478","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002525","The study was stopped before reaching its accrual goal due to slow accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002668","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002735","Terminated due to poor accrual.","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002772","poor accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002778","subject accrual and data analysis is completed.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002796","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002819","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002863","Insufficient Accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002899","Low accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002921","Permanently Closed Due to Lack of Accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002934","This study was terminated when the accrual goal for the low/intermediate grade stratum was
    reached. The high grade stratum was closed due to slow accrual.","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002947","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002948","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002961","poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002976","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00002993","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003009","Insufficient Accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003040","Poor accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003054","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003056","Interim analysis indicated study should be terminated","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003060","lack of patient accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003085","Insufficient Accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003086","no participants enrolled in a three year period","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003113","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003147","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003152","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003156","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003179","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003194","Study enrollment did not meet expected goals","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003223","Closed due to poor accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003292","lack of accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003316","No reason provided","Citations are listed","No documents listed"
